from,to,weight
P1,P2,33
P1,P4,2
P2,P3,31
P2,P8,24
P2,P12,1
P2,P19,32
P3,P1,24
P3,P12,8
P4,P2,1
P5,P1,51
P5,P9,24
P5,P11,7
P5,P26,9
P6,P1,10
P6,P7,36
P6,P8,47
P6,P21,27
P7,P1,29
P7,P8,67
P7,P21,47
P8,P1,44
P8,P3,1
P9,P1,3
P10,P1,49
P10,P17,24
P11,P1,1
P11,P9,1
P12,P1,3
P13,P1,4
P14,P1,56
P14,P10,8
P14,P15,51
P14,P16,60
P14,P17,8
P14,P29,19
P15,P1,16
P15,P16,22
P16,P1,19
P16,P10,2
P16,P17,2
P17,P1,2
P18,P1,6
P19,P1,19
P19,P3,19
P19,P8,19
P20,P1,15
P20,P13,15
P21,P1,23
P21,P8,23
P22,P1,45
P22,P13,45
P22,P20,45
P23,P1,2
P23,P10,2
P23,P14,2
P23,P16,2
P23,P17,2
P24,P1,26
P24,P18,26
P24,P25,23
P25,P1,4
P25,P18,4
P26,P1,1
P26,P9,1
P26,P11,1
P27,P1,3
P27,P13,3
P27,P20,3
P27,P22,3
P28,P1,3
P29,P1,4
P29,P15,4
P29,P16,4
P30,P1,12
P30,P18,12
P30,P24,12
P30,P25,12
P31,P1,3
P31,P13,3
P31,P20,3
P31,P22,3
P31,P27,3
P31,P32,3
P32,P1,2
P32,P13,2
P32,P20,2
P32,P22,2
P32,P27,2
P33,P1,3
P33,P28,3
P33,P34,5
P33,P35,3
P34,P1,3
P34,P28,3
P34,P35,2
P35,P1,1
P35,P28,1
