interaction-date,from,to
2022-06-08,P2,P1
2022-06-09,P3,P1
2022-06-09,P3,P2
2022-06-10,P4,P1
2022-06-13,P5,P1
2022-06-13,P6,P1
2022-06-15,P7,P1
2022-06-16,P8,P1
2022-06-16,P8,P2
2022-06-16,P9,P1
2022-06-17,P10,P1
2022-06-18,P11,P1
2022-06-18,P11,P1
2022-06-18,P12,P1
2022-06-18,P13,P2
2022-06-18,P13,P1
2022-06-21,P14,P13
2022-06-22,P15,P1
2022-06-22,P16,P2
2022-06-22,P17,P1
2022-06-23,P17,P5
2022-06-23,P17,P8
2022-06-23,P17,P3
2022-06-23,P18,P1
2022-06-23,P19,P1
2022-06-24,P20,P1
2022-06-24,P20,P4
2022-06-28,P11,P4
2022-06-28,P21,P1
